name,type,size
hooks,directory,23513
info,directory,240
0e,directory,851
15,directory,3655
18,directory,236
25,directory,826
3a,directory,847
3b,directory,853
3e,directory,813
46,directory,831
4d,directory,1006
58,directory,166
69,directory,112
91,directory,717
97,directory,215
9c,directory,714
9f,directory,207
e6,directory,15
ec,directory,88
info,directory,0
pack,directory,0
objects,directory,12152
heads,directory,0
tags,directory,0
refs,directory,0
.git,directory,37363
8,directory,63465
